Date,Station,SO2,NO2,CO,PM2.5,PM10,AQI Index,AQI Value,Prominent Pollutant
01-Jan,Kodungaiyur,17,14,-,33,137,Moderate,124,PM10
01-Jan,Koyambedu,15,25,-,82,149,Moderate,175,PM2.5
01-Jan,Perungudi,3,8,0.5,87,143,Moderate,190,PM2.5
01-Jan,Royapuram,3,17,0.7,76,100,Moderate,153,PM2.5
01-Jan,Manali,,,,,N/A (PC Issue),,,
02-Jan,Kodungaiyur,16,12,-,22,96,Satisfactory,96,PM10
02-Jan,Koyambedu,7,22,-,58,116,Moderate,111,PM10
02-Jan,Perungudi,3,8,0.5,62,105,Moderate,106,PM2.5
02-Jan,Royapuram,2,15,0.5,49,71,Moderate,82,PM2.5
02-Jan,Manali,12,7,0.7,50,87,Satisfactory,87,PM10
03-Jan,Kodungaiyur,17,14,-,27,118,Moderate,112,PM10
03-Jan,Koyambedu,6,27,-,58,102,Moderate,102,PM10
03-Jan,Perungudi,3,12,0.5,69,126,Moderate,129,PM2.5
03-Jan,Royapuram,3,17,0.6,62,95,Moderate,106,PM2.5
03-Jan,Manali,10,5,0.7,51,61,Satisfactory,85,PM2.5
04-Jan,Kodungaiyur,16,13,-,22,93,Satisfactory,93,PM10
04-Jan,Koyambedu,8,25,-,58,113,Moderate,108,PM10
04-Jan,Perungudi,3,8,-,55,98,Satisfactory,98,PM10
04-Jan,Royapuram,3,16,0.6,45,66,Satisfactory,74,PM2.5
04-Jan,Manali,8,5,0.8,48,70,Satisfactory,80,PM2.5
05-Jan,Kodungaiyur,18,16,0.8,20,77,Satisfactory,77,PM10
05-Jan,Koyambedu,7,31,-,53,81,Satisfactory,89,PM2.5
05-Jan,Perungudi,2,9,0.6,61,81,Moderate,102,PM2.5
05-Jan,Royapuram,4,23,0.6,48,76,Satisfactory,80,PM2.5
05-Jan,Manali,13,7,0.8,52,72,Satisfactory,87,PM2.5
06-Jan,Kodungaiyur,44,14,0.6,13,58,,58,PM10
06-Jan,Koyambedu,9,19,-,30,67,Satisfactory,67,PM10
06-Jan,Perungudi,3,9,0.4,28,48,Good,48,PM10
06-Jan,Royapuram,3,12,0.4,21,46,Good,46,PM10
06-Jan,Manali,12,4,0.7,57,68,,68,PM10
07-Jan,Kodungaiyur,14,15,0.6,13,47,,47,PM10
07-Jan,Koyambedu,6,23,-,31,70,Satisfactory,70,PM10
07-Jan,Perungudi,3,9,0.5,18,39,Good,39,PM10
07-Jan,Royapuram,2,17,0.5,19,41,Good,41,PM10
07-Jan,Manali,10,7,0.7,45,70,,75,PM2.5
08-Jan,Kodungaiyur,19,17,0.6,8,32,Good,32,PM10
08-Jan,Koyambedu,4,19,-,28,57,Satisfactory,57,PM10
08-Jan,Perungudi,2,8,0.4,16,31,Good,31,PM10
08-Jan,Royapuram,2,14,0.5,14,25,Good,25,PM10
08-Jan,Manali,9,5,0.7,42,68,Satisfactory,68,PM10
09-Jan,Kodungaiyur,13,9,0.6,18,66,Satisfactory,66,PM10
09-Jan,Koyambedu,4,16,-,42,78,Satisfactory,78,PM10
09-Jan,Perungudi,3,9,0.4,45,78,Satisfactory,78,PM10
09-Jan,Royapuram,3,13,0.5,38,57,Satisfactory,63,PM2.5
09-Jan,Manali,14,9,0.7,46,59,Satisfactory,59,PM10
10-Jan,Kodungaiyur,14,9,0.6,17,70,Satisfactory,70,PM10
10-Jan,Koyambedu,4,15,-,46,91,Satisfactory,91,PM10
10-Jan,Perungudi,2,8,0.4,42,80,Satisfactory,80,PM10
10-Jan,Royapuram,2,15,0.5,36,64,Satisfactory,64,PM10
10-Jan,Manali,12,7,0.8,52,55,Satisfactory,87,PM2.5
11-Jan,Kodungaiyur,41,12,0.5,20,93,,93,PM10
11-Jan,Koyambedu,6,21,0.6,46,92,,92,PM10
11-Jan,Perungudi,3,8,0.6,53,94,,94,PM10
11-Jan,Royapuram,3,14,0.5,44,70,,74,PM2.5
11-Jan,Manali,18,3,0.7,47,85,Satisfactory,85,PM10
12-Jan,Kodungaiyur,47,14,0.6,28,122,,114,PM10
12-Jan,Koyambedu,10,19,0.4,63,125,Moderate,117,PM10
12-Jan,Perungudi,3,9,0.5,66,106,Satisfactory,94,PM10
12-Jan,Royapuram,2,14,0.5,55,72,Satisfactory,91,PM2.5
12-Jan,Manali,20,18,0.9,63,88,,88,PM10
13-Jan,Kodungaiyur,14,13,0.6,31,135,,123,PM10
13-Jan,Koyambedu,10,19,0.4,74,143,Moderate,147,PM2.5
13-Jan,Perungudi,3,8,0.6,85,139,Moderate,182,PM2.5
13-Jan,Royapuram,3,16,0.7,70,95,Moderate,135,PM2.5
13-Jan,Manali,22,3,0.9,74,80,,149,PM10
14-Jan,Kodungaiyur,14,18,0.7,84,225,Moderate,183,PM10
14-Jan,Koyambedu,10,24,-,89,242,Moderate,197,PM2.5
14-Jan,Perungudi,2,12,0.8,85,241,Moderate,194,PM2.5
14-Jan,Royapuram,3,19,0.9,75,217,Moderate,178,PM10
14-Jan,Manali,12,7,0.9,89,241,Moderate,197,PM2.5
15-Jan,Kodungaiyur,11,12,0.6,33,137,Moderate,125,PM10
15-Jan,Koyambedu,3,15,-,74,136,Moderate,148,PM2.5
15-Jan,Perungudi,3,10,0.6,84,163,Moderate,180,PM2.5
15-Jan,Royapuram,2,15,0.8,75,102,Moderate,150,PM2.5
15-Jan,Manali,10,5,0.8,84,193,Moderate,180,PM2.5
16-Jan,Kodungaiyur,12,11,0.6,23,97,Satisfactory,97,PM10
16-Jan,Koyambedu,4,21,-,54,106,Moderate,104,PM10
